stage_index,stage_label,Gamma 1_pressure_bar,Gamma 2_pressure_bar,Gamma 3_pressure_bar,Orifice_pressure_bar,Kearton_pressure_bar,Ueda_pressure_bar,Saurabh (Lanjewar)_pressure_bar
0,in,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,S1T1,1.9323311537057173,1.9360794495240035,1.9360794495240035,1.9360794495240035,1.9383226668053408,1.93836907970814,1.859723005647448
2,S1T2,1.8687325899720864,1.8762091562194896,1.8762091562194896,1.8762091562194896,1.880584757963093,1.8765324133186945,1.819198392965381
3,S1T3,1.8087513158094892,1.819934840764061,1.819934840764061,1.819934840764061,1.8263485181675223,1.8185360621929916,1.7772667966109363
4,S1T4,1.7520004541505254,1.7668699124893,1.7668699124893,1.7668699124893,1.7752411173263574,1.7639571723165375,1.7381721012870301
5,S1T5,1.6981471853850802,1.7166829572352522,1.7166829572352522,1.7166829572352522,1.7269427245931712,1.7124344618913259,1.7014353200222663
6,S1T6,1.6469032657284903,1.6690879400915857,1.6690879400915857,1.6690879400915857,1.6811771556386215,1.6636570781326396,1.666834485107155
7,S1T7,1.5980174945596288,1.6238364525849511,1.6238364525849511,1.6238364525849511,1.637704461396908,1.6173558212316594,1.6341683536328317
8,S1T8,1.5512696729424151,1.5807115181345326,1.5807115181345326,1.5807115181345326,1.5963149990081786,1.5732961613647185,1.6032615887451664
9,S2T1,1.4497272973315845,1.4821436352850212,1.4821436352850212,1.4821436352850212,1.491752812499699,1.477236517038319,1.341659902385043
10,S2T2,1.3291746499982717,1.3621626411370398,1.3621626411370398,1.3621626411370398,1.3655253723747554,1.3613707905680243,1.2705060923039901
11,S2T3,1.1828827046297283,1.209887485521079,1.209887485521079,1.209887485521079,1.207966734546613,1.2122014362834646,1.1505692892755373
12,S2T4,1.00000432875353,0.9999919183325334,0.9999919183325334,0.9999919183325334,1.0,1.000000000000122,1.0
